client,Epoch,Loss,Accuracy
0,1,2.247278756532021,48.76489392618425
0,2,1.7833181057702325,88.02673641383319
0,3,1.7333537333507445,90.55507120023249
0,4,1.7172743504681085,91.74658529497239
0,5,1.709829573982089,92.0662598081953
1,1,2.0109230687735073,79.88956698634118
1,2,1.7581027195866679,89.62510897994768
1,3,1.7311538863145473,90.990990990991
1,4,1.7192722587054836,91.39784946236558
1,5,1.7099870946144098,92.1243824469631
2,1,1.8953543931128929,85.20778843359489
2,2,1.7524482329539566,89.7704155768672
2,3,1.725962046848558,91.39784946236558
2,4,1.7115333040031886,92.2406277244987
2,5,1.701701012476963,92.7056088346411
3,1,1.8335109787636328,86.74803836094158
3,2,1.7458454081215384,89.74135425748328
3,3,1.72110720852649,91.68846265620459
3,4,1.7162731581933284,91.51409473990118
3,5,1.7028703007495065,92.5893635571055
4,1,1.7877064807480716,88.78233071781459
4,2,1.738098075101453,90.67131647776809
4,3,1.7156014496115721,92.0081371694275
4,4,1.7097564918399784,92.35687300203429
4,5,1.703088984086173,92.5893635571055
5,1,1.7877064807480716,88.78233071781459
5,2,1.738098075101453,90.67131647776809
5,3,1.7156014496115721,92.0081371694275
5,4,1.7097564918399784,92.35687300203429
5,5,1.703088984086173,92.5893635571055
